Name,Start,End,Duration_Days,Lat,Lon
10-day,2009-07-01,2009-07-11,10,51.93717047288657,-2.7183688422482426
10-day,2010-06-01,2010-06-11,10,34.13290739801991,-116.16958440882196
10-day,2011-06-01,2011-06-11,10,34.13290739801991,-116.16958440882196
Satipatthana,2012-03-01,2012-03-09,8,34.13290739801991,-116.16958440882196
10-day,2012-07-01,2012-07-11,10,34.13290739801991,-116.16958440882196
10-day,2012-12-01,2012-12-11,10,34.13290739801991,-116.16958440882196
10-day,2013-09-01,2013-09-11,10,34.13290739801991,-116.16958440882196
10-day,2014-09-01,2014-09-11,10,34.13290739801991,-116.16958440882196
10-day,2015-12-01,2015-12-11,10,34.13290739801991,-116.16958440882196
10-day,2017-12-01,2017-12-11,10,46.551094113518346,-122.68237978383321
10-day,2019-02-01,2019-02-11,10,46.551094113518346,-122.68237978383321
10-day,2020-02-01,2020-02-06,5,46.551094113518346,-122.68237978383321
10-day,2021-12-01,2021-12-11,10,46.551094113518346,-122.68237978383321
10-day,2022-12-01,2022-12-11,10,46.551094113518346,-122.68237978383321
3-day,2023-08-01,2023-08-04,3,46.551094113518346,-122.68237978383321
10-day,2023-12-01,2023-12-11,10,46.551094113518346,-122.68237978383321
10-day,2025-02-01,2025-02-11,10,46.551094113518346,-122.68237978383321
10-day,2025-12-01,2025-12-11,10,46.551094113518346,-122.68237978383321
